,country,region,ladder_score,Std Err,upperwhisker,lowerwhisker,GDP_per_capita,Social support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ladder_score_in_dystopia,eb_GDP_per_capita,eb_social_support,eb_healthy_life_expectancy,eb_freedom_to_make_life_choices,eb_generosity,eb_perceptions_of_corruption,dystopia_plus_residual,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
11,Israel,Middle East and North Africa,7.157,0.034,7.224,7.09,10.575,0.9390000000000001,73.503,0.8,0.031,0.753,2.43,1.376,1.074,0.7879999999999999,0.509,0.20800000000000002,0.11900000000000001,3.083,Asia,841777,6429.0,833466.0,1882.0,26.0,90261,689.0,15032200.0,1611859.0,9326000
12,Germany,Western Europe,7.155,0.04,7.232,7.077000000000001,10.873,0.903,72.5,0.875,0.011000000000000001,0.46,2.43,1.48,0.993,0.757,0.6,0.195,0.306,2.824,Europe,3736223,91459.0,3625700.0,19064.0,736.0,44452,1088.0,63813168.0,759222.0,84050720
13,Canada,North America and ANZ,7.103,0.042,7.185,7.021,10.776,0.9259999999999999,73.8,0.915,0.08900000000000001,0.415,2.43,1.4469999999999998,1.044,0.7979999999999999,0.648,0.24600000000000002,0.335,2.585,North America,1415284,26295.0,1381902.0,7087.0,466.0,37175,691.0,36768392.0,965778.0,38071259
14,Ireland,Western Europe,7.085,0.04,7.164,7.006,11.342,0.9470000000000001,72.4,0.879,0.077,0.363,2.43,1.6440000000000001,1.092,0.753,0.606,0.23800000000000002,0.36700000000000005,2.384,Europe,271931,4989.0,256993.0,9949.0,16.0,54467,999.0,4729538.0,947308.0,4992608
15,Costa Rica,Latin America and Caribbean,7.069,0.055999999999999994,7.178999999999999,6.96,9.88,0.8909999999999999,71.4,0.934,-0.126,0.809,2.43,1.1340000000000001,0.966,0.722,0.6729999999999999,0.105,0.083,3.387,North America,367938,4667.0,293532.0,69739.0,412.0,71578,908.0,1468597.0,285698.0,5140376
16,Czech Republic,Central and Eastern Europe,6.965,0.049,7.062,6.867999999999999,10.556,0.9470000000000001,70.807,0.858,-0.20800000000000002,0.868,2.43,1.37,1.09,0.703,0.58,0.052000000000000005,0.046,3.1239999999999997,Europe,1667435,30304.0,1635643.0,1488.0,11.0,155417,2825.0,29875529.0,2784618.0,10728771
17,Belgium,Western Europe,6.834,0.034,6.901,6.767,10.823,0.9059999999999999,72.199,0.7829999999999999,-0.153,0.6459999999999999,2.43,1.463,0.998,0.747,0.489,0.08800000000000001,0.187,2.862,Europe,1085131,25173.0,1036032.0,23926.0,143.0,93226,2163.0,15270322.0,1311902.0,11639838
18,France,Western Europe,6.69,0.037000000000000005,6.7620000000000005,6.617999999999999,10.704,0.9420000000000001,74.0,0.8220000000000001,-0.147,0.5710000000000001,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,Europe,5775301,111082.0,5618885.0,45334.0,1204.0,88284,1698.0,93089184.0,1423004.0,65417371
19,Bahrain,Middle East and North Africa,6.647,0.068,6.779,6.513999999999999,10.669,0.862,69.495,0.925,0.08900000000000001,0.722,2.43,1.409,0.899,0.662,0.6609999999999999,0.24600000000000002,0.139,2.6310000000000002,Asia,265827,1352.0,261287.0,3188.0,79.0,151040,768.0,5038697.0,2862935.0,1759976
22,Saudi Arabia,Middle East and North Africa,6.494,0.055999999999999994,6.604,6.3839999999999995,10.743,0.8909999999999999,66.60300000000001,0.877,-0.149,0.684,2.43,1.435,0.9640000000000001,0.5710000000000001,0.603,0.09,0.163,2.668,Asia,487592,7819.0,467633.0,12140.0,1406.0,13792,221.0,21902140.0,619542.0,35352132
